url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,,,,,,,,,,,
https://npidb.org/organizations/nursing_service/administrator_163wa2000x/1558811836.aspx,"Air & Surface Qualified Medical Escort (Asqme)

						Lbn  Uniwide Alliance,llc",-,"703 E Orange Grove Blvd Pasadena, Ca 91104-4489",Pasadena,CA,626-782-2004,-,"Uniwide Alliance,llc",Maria Desiree Cafe - (manager),10/10/16,10/10/16,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1275681694.aspx,Aj's Medical Transport Inc.,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13310 Reedley St Panorama City, Ca 91402-4022",City,CA,818-781-5455,-,Aj's Medical Transport Inc.,Vivian Ruiz - (president),1/8/07,1/8/07,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1518340066.aspx,Akamai Medical Transport Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1376 San Miguel Way Merced, Ca 95340-2547",Merced,CA,209-761-5554,-,Akamai Medical Transport Llc,Gregory Minson - (coo),7/1/15,7/1/15,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1881252336.aspx,Akaza Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1104 Corporate Way Ste 216 Sacramento, Ca 95831-3875",Sacramento,CA,844-397-4337,-,Akaza Llc,Khaula Nixon - (general Manager),5/30/19,5/30/19,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1508419755.aspx,Akoobi Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2478 Hilton Head Pl Apt 2156 El Cajon, Ca 92019-4455",Cajon,CA,619-402-2000,-,Akoobi Transportation,Qasim Hasan - (president),7/17/19,7/17/19,,,,,,,,,,,url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1427583459.aspx,Alex Express,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13437 Ventura Blvd Ste 209 Sherman Oaks, Ca 91423-3829",Oaks,CA,213-814-4689,-,Alex Express,,04/27/2017,04/27/2017
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1851831408.aspx,Alex Express,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5455 Sylmar Ave Apt 202 Sherman Oaks, Ca 91401-5113",Oaks,CA,213-814-4689,-,Alex Express,,03/01/2017,03/01/2017
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1346406931.aspx,All Aboard Medical Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","27465 Capri Ave Hayward, Ca 94545-4001",Hayward,CA,415-297-4264,-,All Aboard Medical Transport,,08/03/2008,08/03/2008
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1588808406.aspx,All Access Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1280 E Cooley Dr Suite #3 Colton, Ca 92324-3932",Colton,CA,909-424-0231,-,All Access Transport,,04/22/2009,04/22/2009
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1497231310.aspx,"All American Logistics

						Lbn  All America Enterprises, Inc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1124 E Elmwood Ave Burbank, Ca 91501-1614",Burbank,CA,818-531-2727,-,"All America Enterprises, Inc",,07/13/2018,07/13/2018
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1518103910.aspx,All American Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","230 N Blackstone Ave Fresno, Ca 93701-1913",Fresno,CA,559-313-2825,-,All American Medical Transportation,,01/06/2009,01/06/2009
