url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1568722577.aspx,24/7 Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","6366 N Figarden Dr #116 Fresno, Ca 93722-7982",Fresno,CA,559-244-9402,-,24/7 Medical Transportation,Mariam Keshishyan - (owner/ President),5/23/12,5/23/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1801439138.aspx,"24/7 Trans

						Lbn  American Ground Transportation, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1767 N Batavia St Orange, Ca 92865-4103",Orange,CA,714-279-0192,-,"American Ground Transportation, Llc",Konstantinos Roditis - (ceo/managing Member),10/18/19,10/18/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1023462793.aspx,24.7 Tranz.inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","9681 Sunland Blvd Tujunga, Ca 91040-1450",Tujunga,CA,818-383-0964,-,24.7 Tranz.inc,Albert Antanesyan - (president),4/19/16,4/19/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1366965667.aspx,3 Vest Medical Transportation Wc Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3256 Rural Lane Corona, Ca 92882",Corona,CA,(951) 314-4380,-,3 Vest Medical Transportation Wc Llc,Brandon Davis - (member),7/19/17,7/19/17,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1114473709.aspx,4 U Medical Transit,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3200 E Guasti Rd Suite 100 Ontario, Ca 91761-8660",Ontario,CA,844-243-9988,-,4 U Medical Transit,Joseph Romero - (owner Manager),9/1/16,9/1/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1598147498.aspx,"49er Cab

						Lbn  Thj Transport, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","19506 Industrial Dr Ste C2 Sonora, Ca 95370-9213",Sonora,CA,209-984-3333,-,"Thj Transport, Llc",Todd Johnson - (owner),6/26/15,6/26/15,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1265817589.aspx,5 Star Care Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","110 Kiely Blvd Apt 3 Santa Clara, Ca 95051-7021",Clara,CA,408-637-8272,-,5 Star Care Transport,Alusine Sesay - (owner),7/28/15,7/28/15,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1326231101.aspx,5 Star Medical Response,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2510 S Grand Ave # B Los Angeles, Ca 90007-2651",Angeles,CA,818-802-8438,-,5 Star Medical Response,Alex Balsin - (general Manager),8/24/07,8/24/07,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1902317290.aspx,A 1 Transportation Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","7247 Dustin Allan Ln Van Nuys, Ca 91405-2197",Nuys,CA,818-416-4747,-,A 1 Transportation Inc,Bagdasar Terpogosyan - (president),10/13/17,10/13/17,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1841538451.aspx,A-1 Transportation Services Inc.,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","7006 Morse Ave North Hollywood, Ca 91605-4804",Hollywood,CA,818-970-4188,-,A-1 Transportation Services Inc.,Danny Rojas - (manager),1/17/13,1/17/13,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1487188447.aspx,A And R Mobility,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2815 W Calle Vista Dr Rialto, Ca 92377-5401",Rialto,CA,909-362-1229,-,A And R Mobility,Sirkristopher Arrington - (president),4/17/17,4/17/17,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1104008044.aspx,"A-c Taxi

						Lbn  A-c Transportation Services Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1243 Lotus Ct Santa Rosa, Ca 95404-5918",Rosa,CA,707-636-0805,-,A-c Transportation Services Inc.,Kevin Kroh - (president),12/3/07,12/3/07,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1861742009.aspx,A-class Medtrans Services Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1799 Old Bayshore Hwy #128d Burlingame, Ca 94010-1316",Burlingame,CA,650-259-7809,-,A-class Medtrans Services Llc,Lydia Domingo - (manager),9/14/12,9/14/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1619396124.aspx,"A Comfort Ride

						Lbn  Jbaens Corporation","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3532 Clayton Rd Concord, Ca 94519-2447",Concord,CA,925-689-6887,-,Jbaens Corporation,Janet Valencia - (owner),4/11/14,4/11/14,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1497308613.aspx,"A & E Transit, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","16435 Palomino Pl Apt 101 Canyon Country, Ca 91387-4604",Country,CA,818-456-3267,-,"A & E Transit, Inc.",Levon Sassonian - (owner),7/17/19,7/17/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1023368537.aspx,"A & F Medical Transport

						Lbn  A & F Medical Transport, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4081 39th St Apt 224 San Diego, Ca 92105-2379",Diego,CA,619-981-2456,-,"A & F Medical Transport, Llc",Fatuma Guyo - (manager),9/12/12,9/12/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1598010944.aspx,"A & F Medical Transport, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4265 Fairmount Ave 270 San Diego, Ca 92105",Diego,CA,619-981-2456,-,"A & F Medical Transport, Llc",Ahmed Malinomar - (president),7/20/12,7/20/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1982963088.aspx,"A & G Transportation Co.

						Lbn  A & G Activity Services","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1314 W 12th St Los Angeles, Ca 90015-2009",Angeles,CA,213-763-0500,-,A & G Activity Services,Rene Lee - (vice-president),5/9/12,5/9/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1043465503.aspx,A-med Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","945 S Prairie Ave Suite 210-i Inglewood, Ca 90301-7554",Inglewood,CA,310-419-9800,-,A-med Transportation,Flanzie Thomas - (partner),11/25/08,11/25/08,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1861785784.aspx,A Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4010 E Jensen Ave Fresno, Ca 93725-1404",Fresno,CA,559-994-4862,-,A Medical Transportation,Raul Carranza-gomez - (co-owner),5/25/11,5/25/11,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1528416906.aspx,A-one Choice Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1605 N 6th Pl Port Hueneme, Ca 93041-2411",Hueneme,CA,805-469-4803,-,A-one Choice Transport,Norma Martinez - (owner),5/26/16,5/26/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1376826024.aspx,A One Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","338 W Palm Vista Dr Palm Springs, Ca 92262-1454",Springs,CA,760-464-7173,-,A One Medical Transportation,Everardo Soria - (owner),9/20/11,9/20/11,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1992241772.aspx,"A Plus More Medtransport, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","11801 Pierce St Ste 200 Riverside, Ca 92505-4400",Riverside,CA,951-720-3092,-,"A Plus More Medtransport, Inc.",Evita Anderson - (ceo),1/17/17,1/17/17,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1366879058.aspx,A Plus Non Emergency Transportation Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13746 Victory Blvd Suite 200 Van Nuys, Ca 91401-6716",Nuys,CA,818-786-1163,-,A Plus Non Emergency Transportation Inc,Manuk Karamanukyan - (president),9/26/13,9/26/13,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1598002271.aspx,"A Plus Transit, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","323 Inverness Dr Pacifica, Ca 94044-1712",Pacifica,CA,650-892-0600,-,"A Plus Transit, Inc.",Jennifer Tan - (secretary),1/14/13,1/14/13,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1629112065.aspx,A & R Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5300 Santa Monica Blvd Suite #216 Los Angeles, Ca 90029-1131",Angeles,CA,323-960-1122,-,A & R Medical Transportation,Rafik Aghajanyan - (owner),2/19/07,2/19/07,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1184953952.aspx,"A To B Transport, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4820 Adohr Ln Unit F Camarillo, Ca 93012-8580",Camarillo,CA,805-389-1600,-,"A To B Transport, Llc",Farzad Darabi - (executive Director),12/8/09,12/8/09,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1316401839.aspx,A-z Logistics Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2344 Arden Way Sacramento, Ca 95825-4066",Sacramento,CA,916-410-6953,-,A-z Logistics Llc,Zaid Hani - (owner),1/29/19,1/29/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1386959138.aspx,A-z Medical Transportation Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2386 Fair Oaks Blvd Suite 118 Sacramento, Ca 95825-4741",Sacramento,CA,888-611-3380,-,A-z Medical Transportation Llc,Samvel Tovmasyan - (president),8/17/10,8/17/10,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1194061945.aspx,A1 Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","12534 Valley View St Garden Grove, Ca 92845-5540",Grove,CA,562-537-9757,-,A1 Medical Transportation,Hamed Eldaghash - (owner),12/26/12,12/26/12,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1578127676.aspx,A2ztransit Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3450 Rancho Diego Cir El Cajon, Ca 92019-5129",Cajon,CA,804-424-2464,-,A2ztransit Inc,Isam Altoblany - (owner),4/24/19,4/24/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1134512981.aspx,A&a Med Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1001 Bayhill Dr Suite 200 San Bruno, Ca 94066-3062",Bruno,CA,415-359-4234,-,A&a Med Transport,Aziz Esmail - (ceo),3/17/15,3/17/15,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1053861427.aspx,"A&a Transportation Services

						Lbn  C.c.m.t. Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1589 W Shaw Ave Ste 19 Fresno, Ca 93711-3500",Fresno,CA,559-210-3556,-,C.c.m.t. Inc.,Aram Arestakesyan - (president),10/10/16,10/10/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1861030603.aspx,Aaa Kids Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13398 Devon Dr Jamul, Ca 91935-1663",Jamul,CA,619-756-4900,-,Aaa Kids Inc,Lillian Habib - (president),12/11/19,12/11/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1093989766.aspx,"Aaa Medical Transportation

						Lbn  Zlzr Corporation","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4301 N Selland Ave Ste 101 Fresno, Ca 93722-7820",Fresno,CA,559-432-0604,-,Zlzr Corporation,Lara Ovikian - (president),4/14/08,4/14/08,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1548430564.aspx,"Aaa Medicaltransportation

						Lbn  Agat Corporation","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","860 S Winchester Blvd Ste E San Jose, Ca 95128-2962",Jose,CA,408-218-0743,-,Agat Corporation,Marina Torosyan - (ceo),3/5/08,3/5/08,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/private-vehicle_347c00000x/1821313487.aspx,"Aaa Transportation, Llc",An individual paid to provide non-emergency transportation using their privately owned/leased vehicle.,"4790 Scenic Ave Livermore, Ca 94551-5444",Livermore,CA,866-558-0222,-,"Aaa Transportation, Llc",Navjeet Sigh - (chief Of Operations),4/7/10,4/7/10,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1962644369.aspx,"Aamedtrans

						Lbn  Sanzone Enterprises, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","541 Curtola Pkwy Suite C Vallejo, Ca 94590-6924",Vallejo,CA,707-552-1193,-,"Sanzone Enterprises, Inc.","Paul Sanso - (ceo, Operations Director)",3/31/09,3/31/09,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1184076424.aspx,"Aaria Medical Transport

						Lbn  Aaria Transportation Llc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","7423 El Cajon Blvd B La Mesa, Ca 91942-7401",Mesa,CA,619-303-3064,-,Aaria Transportation Llc.,Abdirashid Abdi - (ceo),7/11/16,7/11/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1164607289.aspx,Aba Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1254 S Waterman Ave Ste 40 San Bernardino, Ca 92408-2858",Bernardino,CA,909-881-8325,-,Aba Medical Transportation,Godwin Abodoh - (managing Director),1/8/08,1/8/08,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1710346275.aspx,Abba Transportation Services Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5640 Surfrider Way #255 San Diego, Ca 92154",Diego,CA,619-882-4706,-,Abba Transportation Services Llc,Abdulkadir Ali - (ceo),2/12/16,2/12/16,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1942495338.aspx,"Abbey Medi Van Services

						Lbn  Vzs Inc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","155 E Shaw Ave 108 Fresno, Ca 93710-7619",Fresno,CA,559-446-0900,-,Vzs Inc,Hasmik Keshishyan - (ceo),9/10/07,9/10/07,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1629629241.aspx,Abbey West Transportation Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1791 Third St Norco, Ca 92860",Norco,CA,510-253-2812,-,Abbey West Transportation Llc,Ebony Phillips - (coo),9/25/19,9/25/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1235624503.aspx,Abc Medical Transportation Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5012 Lotus Pond Way Elk Grove, Ca 95757-4340",Grove,CA,916-549-3708,-,Abc Medical Transportation Llc,Andrew Luu - (president),6/28/18,6/28/18,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1629580634.aspx,Abc Non-emergency Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4052 W Fender Ave Fresno, Ca 93722-4692",Fresno,CA,559-691-9317,-,Abc Non-emergency Medical Transportation,Fred Belleza - (rn/owner/provider),10/31/17,10/31/17,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1033774088.aspx,"Abc Non-emergency Medical Transportation,llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5627 N Figarden Drive Suite# 105 Fresno, Ca 93722",Fresno,CA,559-691-9317,-,"Abc Non-emergency Medical Transportation,llc",Fred Belleza - (owner),5/6/19,5/6/19,Org,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1679931190.aspx,"Abcde Transportation, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","454 S Robertson Blvd Ste D Los Angeles, Ca 90048-3972",Angeles,CA,562-297-0061,-,"Abcde Transportation, Llc",Alexander Zaks - (president),1/29/16,1/29/16,Org,,,,,,,,,,,,
https://npidb.org/doctors/transportation_services/non-emergency-medical-transport-van_343900000x/1720351372.aspx,Aiman M Abdallanon-emergency Medical Transport (Van),"Profile for AIMAN M ABDALLA in OAKLAND, CA.
					A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","6500 International Blvd Oakland, Ca 94621-3644",Oakland,CA,510-689-3669,-,-,so-Aiman M Abdallanon-emergency Medical Transport (Van)-Active,2/13/12,2/13/12,Sole,,,,,,,,,,,,
https://npidb.org/doctors/transportation_services/non-emergency-medical-transport-van_343900000x/1780240226.aspx,Ali Abdallanon-emergency Medical Transport (Van),"Profile for ALI ABDALLA in SAN DIEGO, CA.
					A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","6150 El Cajon Blvd Apt 124 San Diego, Ca 92115-3931",Diego,CA,619-416-5989,-,-,so-Ali Abdallanon-emergency Medical Transport (Van)-Active,5/9/19,5/9/19,Sole,,,,,,,,,,,,
